localidad,nom_loc
1,Usaaquén
2,Chapinero
3,Santa Fe
4,San Cristobal
5,Usme
6,Tunjuelito
7,Bosa
8,Kennedy
9,Fontibón
10,Engativa
11,Suba
12,Barrios Unidos
13,Teusaquillo
14,Los Mártires
15,Antonio Nariño
16,Puente Aranda
17,Candelaria
18,Rafael Uribe
19,Ciudad Bolivar
20,Sumapaz
